id,reference,source,apercu_200_caracteres,statut
4119,Article 63,Code Général des Impôts 2026,"Article 63.- Exonérations
Sont exonérés de l'impôt :
I.- (abrogé) 363
II.- A.- le profit réalisé par toute personne qui effectue dans l'année
civile des cessions d'immeubles dont la valeur totale n'excède pas cent
quaran",a_verifier
4120,Article 64,Code Général des Impôts 2026,"Article 64.- Détermination du revenu foncier378 imposable
I.- Sous réserve des dispositions de l'article 65 ci-après, le revenu
foncier brut des immeubles donnés en location est constitué par le
montant brut total des lo",a_verifier
4121,Article 65,Code Général des Impôts 2026,"Article 65.- Détermination du profit foncier imposable
Le profit net imposable est égal à la différence entre le prix de cession
diminué, le cas échéant, des frais de cession et le prix d’acquisition
augmenté des frais d",a_verifier
4122,Article 66,Code Général des Impôts 2026,"Article 66.- Définition des revenus et profits de capitaux
mobiliers
I.- Sont considérés comme des revenus de capitaux mobiliers :
A.- les produits des actions, parts sociales et revenus assimilés visés
à l’article 13 ci",a_verifier
4123,Article 67,Code Général des Impôts 2026,"Article 67.- Fait générateur de l’impôt
I.- Pour les produits des actions, parts sociales et revenus assimilés
ainsi que les revenus des placements à revenu fixe et les revenus des
certificats de Sukuk,397 le fait généra",a_verifier
4124,Article 68,Code Général des Impôts 2026,"Article 68.- Exonérations
Sont exonérés de l’impôt :
I.- la donation entre ascendants et descendants et entre époux, frères
et sœurs et entre la personne assurant la Kafala dans le cadre d’une
ordonnance du juge des tute",a_verifier
4125,Article 69,Code Général des Impôts 2026,"Article 69.- Détermination du revenu net imposable
Le revenu net imposable est déterminé en déduisant du montant brut
des revenus mentionnés aux articles 13, 14 et 14 bis411 ci-dessus, les agios
et les frais d'encaisseme",a_verifier
4126,Article 70,Code Général des Impôts 2026,"Article 70.- Détermination du profit net imposable
Le profit net de cession visé à l’article 66-II ci-dessus est calculé par
référence aux cessions effectuées sur chaque valeur ou titre. Il est
constitué par la différenc",a_verifier
4127,Article 70 bis,Code Général des Impôts 2026,"Article 70 bis.415- Définition des autres revenus et gains
Sont considérés comme autres revenus et gains pour l’application de
l’impôt sur le revenu, les revenus et gains, qui ne relèvent pas de l’une
des catégories visé",a_verifier
4128,Article 71,Code Général des Impôts 2026,"Article 71.- Période d’imposition
L'impôt sur le revenu est établi chaque année en raison du revenu global
acquis par le contribuable au cours de l'année précédente.
Toutefois, pour les revenus salariaux et assimilés vis",a_verifier
4129,Article 72,Code Général des Impôts 2026,"Article 72.- Lieu d’imposition
L'impôt est établi au lieu du domicile fiscal du contribuable ou de son
principal établissement.
414 Article 8 de la loi de finances n° 60-24 pour l’année budgétaire 2025
415 Article 8 de l",a_verifier
